Title,Original title,ID,Language,Details,Genre IDs,Popularity,Release date,Review score,Number of reviews
The Family Plan,The Family Plan,1029575,en,"Dan Morgan is many things: a devoted husband, a loving father, a celebrated car salesman. He's also a former assassin. And when his past catches up to his present, he's forced to take his unsuspecting family on a road trip unlike any other.","[28, 35]",3443.376,2023-12-14,7.4,577
Rebel Moon - Part One: A Child of Fire,Rebel Moon - Part One: A Child of Fire,848326,en,"When a peaceful colony on the edge of the galaxy finds itself threatened by the armies of the tyrannical Regent Balisarius, they dispatch Kora, a young woman with a mysterious past, to seek out warriors from neighboring planets to help them take a stand.",[878],2288.636,2023-12-15,6.5,1026
The Hunger Games: The Ballad of Songbirds & Snakes,The Hunger Games: The Ballad of Songbirds & Snakes,695721,en,"64 years before he becomes the tyrannical president of Panem, Coriolanus Snow sees a chance for a change in fortunes when he mentors Lucy Gray Baird, the female tribute from District 12.","[18, 878, 28]",2182.886,2023-11-15,7.2,1323
Silent Night,Silent Night,891699,en,"A tormented father witnesses his young son die when caught in a gang's crossfire on Christmas Eve. While recovering from a wound that costs him his voice, he makes vengeance his life's mission and embarks on a punishing training regimen in order to avenge his son's death.","[28, 80]",1441.196,2023-11-30,5.9,234
Aquaman and the Lost Kingdom,Aquaman and the Lost Kingdom,572802,en,"Black Manta, still driven by the need to avenge his father's death and wielding the power of the mythic Black Trident, will stop at nothing to take Aquaman down once and for all. To defeat him, Aquaman must turn to his imprisoned brother Orm, the former King of Atlantis, to forge an unlikely alliance in order to save the world from irreversible destruction.","[28, 12, 14]",1283.474,2023-12-20,6.5,379
Thanksgiving,Thanksgiving,1071215,en,"After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts - the birthplace of the holiday. Picking off residents one by one, what begins as random revenge killings are soon revealed to be part of a larger, sinister holiday plan.","[27, 9648, 53]",1209.49,2023-11-16,6.7,433
Five Nights at Freddy's,Five Nights at Freddy's,507089,en,"Recently fired and desperate for work, a troubled young man named Mike agrees to take a position as a night security guard at an abandoned theme restaurant: Freddy Fazbear's Pizzeria. But he soon discovers that nothing at Freddy's is what it seems.","[27, 9648]",1063.343,2023-10-25,7.8,3072
Freelance,Freelance,897087,en,"An ex-special forces operative takes a job to provide security for a journalist as she interviews a dictator, but a military coup breaks out in the middle of the interview, they are forced to escape into the jungle where they must survive.","[28, 35]",861.808,2023-10-05,6.5,431
Expend4bles,Expend4bles,299054,en,"Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world’s last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give “new blood” a whole new meaning.","[28, 12, 53]",859.833,2023-09-15,6.4,975
The Creator,The Creator,670292,en,"Amid a future war between the human race and the forces of artificial intelligence, a hardened ex-special forces agent grieving the disappearance of his wife, is recruited to hunt down and kill the Creator, the elusive architect of advanced AI who has developed a mysterious weapon with the power to end the war—and mankind itself.","[28, 12, 878]",815.56,2023-09-27,7.2,1736
Wonka,Wonka,787699,en,"Willy Wonka – chock-full of ideas and determined to change the world one delectable bite at a time – is proof that the best things in life begin with a dream, and if you’re lucky enough to meet Willy Wonka, anything is possible.","[35, 10751, 14]",757.327,2023-12-06,7.1,841
Oppenheimer,Oppenheimer,872585,en,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,"[18, 36]",731.408,2023-07-19,8.1,5889
A Creature Was Stirring,A Creature Was Stirring,1131755,en,A nurse taking care of her daughter's mysterious affliction struggles to hide her secrets when uninvited strangers take shelter in her house during a lethal blizzard.,[27],1069.666,2023-12-08,5.4,11
Leo,Leo,1075794,en,"Jaded 74-year-old lizard Leo has been stuck in the same Florida classroom for decades with his terrarium-mate turtle. When he learns he only has one year left to live, he plans to escape to experience life on the outside but instead gets caught up in the problems of his anxious students — including an impossibly mean substitute teacher.","[16, 35, 10751]",661.055,2023-11-17,7.5,758
The Exorcist: Believer,The Exorcist: Believer,807172,en,"When two girls disappear into the woods and return three days later with no memory of what happened to them, the father of one girl seeks out Chris MacNeil, who's been forever altered by what happened to her daughter fifty years ago.",[27],633.909,2023-10-04,6.2,717
Trolls Band Together,Trolls Band Together,901362,en,"When Branch's brother, Floyd, is kidnapped for his musical talents by a pair of nefarious pop-star villains, Branch and Poppy embark on a harrowing and emotional journey to reunite the other brothers and rescue Floyd from a fate even worse than pop-culture obscurity.","[16, 10751, 10402, 14, 35]",713.498,2023-10-12,7.1,473
Rumble Through the Dark,Rumble Through the Dark,844416,en,"Set in the dark landscape of the Mississippi Delta, where a former bare-knuckle fighter must win one last fight to pay off his debts to the local mob boss and save his childhood home—the stakes nothing less than life or death.","[53, 28]",881.583,2023-11-03,6.5,30
Chicken Run: Dawn of the Nugget,Chicken Run: Dawn of the Nugget,520758,en,A band of fearless chickens flock together to save poultry-kind from an unsettling new threat: a nearby farm that's cooking up something suspicious.,"[16, 12, 35, 10751]",504.998,2023-12-08,7.2,388
Nowhere,Nowhere,1151534,es,"A young pregnant woman named Mia escapes from a country at war by hiding in a maritime container aboard a cargo ship. After a violent storm, Mia gives birth to the child while lost at sea, where she must fight to survive.","[53, 18]",565.022,2023-09-29,7.5,1017
Muzzle,Muzzle,939335,en,"LAPD K-9 officer Jake Rosser has just witnessed the shocking murder of his dedicated partner by a mysterious assailant. As he investigates the shooter’s identity, he uncovers a vast conspiracy that has a chokehold on the city in this thrilling journey through the tangled streets of Los Angeles and the corrupt bureaucracy of the LAPD.","[28, 80, 18, 53]",544.879,2023-09-29,6.5,138
The Super Mario Bros. Movie,The Super Mario Bros. Movie,502356,en,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.","[16, 10751, 12, 14, 35]",513.396,2023-04-05,7.7,7672
Talk to Me,Talk to Me,1008042,en,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.","[27, 53]",439.862,2023-07-26,7.2,2015
